segment_L,accession_L,country,admin1,location,latitude,longitude
KU961972|Togo/2016/7082|Human|Togo|2016-02-26,KU961972,TGO,,,NA,NA
LASV|NGA|2019|IRR_0098|2019-03-03,LASV|NGA|2019|IRR_0098|2019-03-03,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0100|2019-03-03,LASV|NGA|2019|IRR_0100|2019-03-03,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0001|2019-01-15,LASV|NGA|2019|IRR_0001|2019-01-15,NGA,Edo,Jattu,7.083333,6.283333
LASV|NGA|2019|IRR_0002|2019-01-16,LASV|NGA|2019|IRR_0002|2019-01-16,NGA,Edo,Okpella,7.272099,6.346321
LASV|NGA|2019|IRR_0003|2019-01-15,LASV|NGA|2019|IRR_0003|2019-01-15,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0004|2019-01-17,LASV|NGA|2019|IRR_0004|2019-01-17,NGA,Ondo,Ifon,6.926767,5.773787
LASV|NGA|2019|IRR_0005|2019-01-18,LASV|NGA|2019|IRR_0005|2019-01-18,NGA,Edo,Auchi,7.066667,6.266667
LASV|NGA|2019|IRR_0006|2019-01-20,LASV|NGA|2019|IRR_0006|2019-01-20,NGA,Edo,Iruekpen,6.754196,6.054167
LASV|NGA|2019|IRR_0008|2019-01-20,LASV|NGA|2019|IRR_0008|2019-01-20,NGA,Edo,Jattu,7.083333,6.283333
LASV|NGA|2019|IRR_0009|2019-01-21,LASV|NGA|2019|IRR_0009|2019-01-21,NGA,Kogi,Ibaji,NA,NA
LASV|NGA|2019|IRR_0010|2019-01-22,LASV|NGA|2019|IRR_0010|2019-01-22,NGA,Ondo,Ifon,6.926767,5.773787
LASV|NGA|2019|IRR_0011|2019-01-22,LASV|NGA|2019|IRR_0011|2019-01-22,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0017|2018-12-31,LASV|NGA|2019|IRR_0017|2018-12-31,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0019|2019-01-08,LASV|NGA|2019|IRR_0019|2019-01-08,NGA,Edo,Uromi,6.712259,6.329005
LASV|NGA|2019|IRR_0020|2019-01-09,LASV|NGA|2019|IRR_0020|2019-01-09,NGA,Ondo,Akoko,7.457113,5.799837
LASV|NGA|2019|IRR_0021|2019-01-18,LASV|NGA|2019|IRR_0021|2019-01-18,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0022|2019-01-25,LASV|NGA|2019|IRR_0022|2019-01-25,NGA,Edo,Ekpoma,6.75,6.133333
LASV|NGA|2019|IRR_0023|2019-01-26,LASV|NGA|2019|IRR_0023|2019-01-26,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0024|2019-01-27,LASV|NGA|2019|IRR_0024|2019-01-27,NGA,Edo,Benin,6.333333,5.622222
LASV|NGA|2019|IRR_0025|2019-02-02,LASV|NGA|2019|IRR_0025|2019-02-02,NGA,Edo,Irrua,6.738429,6.221953
LASV|NGA|2019|IRR_0026|2019-02-02,LASV|NGA|2019|IRR_0026|2019-02-02,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0027|2019-01-05,LASV|NGA|2019|IRR_0027|2019-01-05,NGA,Ondo,Ose,NA,NA
LASV|NGA|2019|IRR_0028|2019-01-25,LASV|NGA|2019|IRR_0028|2019-01-25,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0049|2019-01-04,LASV|NGA|2019|IRR_0049|2019-01-04,NGA,Edo,Jattu,7.083333,6.283333
LASV|NGA|2019|IRR_0050|2019-01-16,LASV|NGA|2019|IRR_0050|2019-01-16,NGA,Edo,Jattu,7.083333,6.283333
LASV|NGA|2019|IRR_0053|2019-01-23,LASV|NGA|2019|IRR_0053|2019-01-23,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0055|2019-01-24,LASV|NGA|2019|IRR_0055|2019-01-24,NGA,Edo,Jattu,7.083333,6.283333
