segment_S,accession_S,country,admin1,location,latitude,longitude
KM821869|G2615_SLE_2012|Human|Sierra_Leone|2012-07-24,KM821869,SLE,Bo,Gondama,7.86688,-11.70931
KM821835|G2259_SLE_2012|Human|Sierra_Leone|2012-01-16,KM821835,SLE,Bo,Gondama,7.86688,-11.70931
KM821833|G2230_SLE_2012|Human|Sierra_Leone|2011-12-29,KM821833,SLE,Bo,Gondama,7.86688,-11.70931
KM821871|G2723_SLE_2012|Human|Sierra_Leone|2012-08-21,KM821871,SLE,Bo,Gondama,7.86688,-11.70931
KM821909|G3278_SLE_2013|Human|Sierra_Leone|2013-08-02,KM821909,SLE,Bo,Torpkoi Town,7.9538763,-11.7132483
AY179173|NL|Human|Sierra_Leone|2000-07,AY179173,SLE,,,NA,NA
MG812647|las803209|Human|Sierra_Leone|1975,MG812647,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182235|las803205|Human|Sierra_Leone|1976,AF182235,SLE,Kailahun,Segbwema,7.997399,-10.950236
AF182233|las802662|Human|Sierra_Leone|1980,AF182233,SLE,Kailahun,Niahun,NA,NA
KM821854|G2427_SLE_2012|Human|Sierra_Leone|2012-03-31,KM821854,SLE,Kenema,Nekabu,7.925974,-11.054267
KM821894|G3151_SLE_2013|Human|Sierra_Leone|2013-06-05,KM821894,SLE,Kenema,Kebawana,7.65,-11.133333
KM821850|G2392_SLE_2012|Human|Sierra_Leone|2012-03-14,KM821850,SLE,Kenema,Patama,NA,NA
KM821890|G3110_SLE_2013|Human|Sierra_Leone|2013,KM821890,SLE,Bombali,Makeni,8.87184,-12.038183
KM821902|G3229_SLE_2013|Human|Sierra_Leone|2013-07-13,KM821902,SLE,Kenema,Kenema,7.862212,-11.196247
MG812639|las806827|Human|Sierra_Leone|1977,MG812639,SLE,Kenema,Gondama,NA,NA
KM821804|G1618_SLE_2011|Human|Sierra_Leone|2011-03-26,KM821804,SLE,Kailahun,Segbwema,7.997399,-10.950236
KM821806|G1646_SLE_2011|Human|Sierra_Leone|2011-04-13,KM821806,SLE,Kenema,Daabu,NA,NA
KM821787|G733_SLE_2010|Human|Sierra_Leone|2010-01-17,KM821787,SLE,Kenema,Panguma,8.184479,-11.134313
AF182237|las9607290|Human|Sierra_Leone|1996,AF182237,SLE,Kailahun,Segbwema,7.997399,-10.950236
KM406554|LM0729|Mastomys_natalensis|SierraLeone|2009-08-15,KM406554,SLE,Kenema,Yawei,7.82,-10.95
KM821859|G2554_SLE_2012|Human|Sierra_Leone|2012-06-24,KM821859,SLE,Kenema,Kenema,7.862212,-11.196247
KM821837|G2263_SLE_2012|Human|Sierra_Leone|2012-01-17,KM821837,SLE,Kailahun,Borbohun,NA,NA
KM821830|G2197_SLE_2011|Human|Sierra_Leone|2011-12-04,KM821830,SLE,Kenema,Panguma,8.184479,-11.134313
KM822111|LM032_SLE_2010|Mouse|Sierra_Leone|2010,KM822111,SLE,,,NA,NA
