segment_S,accession_S,country,admin1,location,latitude,longitude
LASV_NGA_2011_IRR_001_NGA-Ondo_Ose_Hs_2011-08-02,MK107897,NGA,Ondo,Ose,NA,NA
MH887848|LASV0108-ONDO-2017|Human|Nigeria|2017-12-17,MH887848,NGA,Ondo,,NA,NA
LASV_NGA_2015_IRR_006_NGA-Ondo_Ifon_Hs_2015-02-22,MK107950,NGA,Ondo,Ifon,6.926767,5.773787
LASV_NGA_2014_IRR_012_NGA-Ondo_Ifon_Hs_2014-08-10,MK107909,NGA,Ondo,Ifon,6.926767,5.773787
MH887764|LASV0144-ONDO-2018|Human|Nigeria|2018-01-23,MH887764,NGA,Ondo,,NA,NA
MH887796|LASV0160-KOGI-2018|Human|Nigeria|2018-02-06,MH887796,NGA,Kogi,,NA,NA
KM822002|LASV006_NIG_2008|Human|Nigeria|2008,KM822002,NGA,,,NA,NA
KM821943|ISTH1111_NIG_2011|Human|Nigeria|2011,KM821943,NGA,,,NA,NA
LASV_NGA_2018_IRR_071_NGA-Ondo_Ifon_Hs_2018-02-11,MK117998,NGA,Ondo,Ifon,6.926767,5.773787
MH887821|LASV0164-ONDO-2018|Human|Nigeria|2018-02-09,MH887821,NGA,Ondo,,NA,NA
MH053537|ISTH_1472|Human|Nigeria|2016-09-13,MH053537,NGA,Ondo,,NA,NA
LASV|NGA|2019|IRR_0023|2019-01-26,LASV|NGA|2019|IRR_0023|2019-01-26,NGA,Ondo,Owo,7.19744,5.58653
MH887865|LASV0135-ONDO-2018|Human|Nigeria|2018-01-17,MH887865,NGA,Ondo,,NA,NA
LASV|NGA|2019|IRR_0024|2019-01-27,LASV|NGA|2019|IRR_0024|2019-01-27,NGA,Edo,Benin,6.333333,5.622222
MH887830|LASV0094-KOGI-2017|Human|Nigeria|2017-09-02,MH887830,NGA,Kogi,,NA,NA
MH887859|LASV0161-ONDO-2018|Human|Nigeria|2018-02-06,MH887859,NGA,Ondo,,NA,NA
LASV|NGA|2019|IRR_0017|2018-12-31,LASV|NGA|2019|IRR_0017|2018-12-31,NGA,Ondo,Owo,7.19744,5.58653
LASV_NGA_2018_IRR_021_NGA-Nassarawa_Keffi_Hs_2018-01-18,MK117967,NGA,Nassarawa,Keffi,8.84538,7.87839
LASV_NGA_2018_IRR_048_NGA-Ondo_Owo_Hs_2018-02-04,MK117984,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0011|2019-01-22,LASV|NGA|2019|IRR_0011|2019-01-22,NGA,Ondo,Owo,7.19744,5.58653
LASV_NGA_2018_IRR_084_NGA-Ondo_Owo_Hs_2018-02-13,MK118009,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0054|2019-01-12,LASV|NGA|2019|IRR_0054|2019-01-12,NGA,Ondo,Ayede Ogbese,7.202272,5.381605
LASV|NGA|2019|IRR_0099|2019-03-01,LASV|NGA|2019|IRR_0099|2019-03-01,NGA,Kogi,Ekirin-Ade,7.839884,5.857344
LASV_NGA_2017_IRR_014_NGA-Ondo_Owo_Hs_2017-04-28,MK117951,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0096|2019-02-26,LASV|NGA|2019|IRR_0096|2019-02-26,NGA,Edo,Ovia North East,NA,NA
MH887801|LASV0083-ONDO-2017|Human|Nigeria|2017-06-13,MH887801,NGA,Ondo,,NA,NA
LASV|NGA|2019|IRR_0077|2019-01-19,LASV|NGA|2019|IRR_0077|2019-01-19,NGA,Edo,Usen,6.733367,5.401827
LASV|NGA|2019|IRR_0097|2019-02-24,LASV|NGA|2019|IRR_0097|2019-02-24,NGA,Ondo,Ondo,7.088923,4.799094
MH887774|LASV0191-ONDO-2018|Human|Nigeria|2018-02-15,MH887774,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_083_NGA-Ondo_Owo_Hs_2018-02-13,MK118008,NGA,Ondo,Owo,7.19744,5.58653
MH887890|LASV0114-ONDO-2018|Human|Nigeria|2018-01-05,MH887890,NGA,Ondo,,NA,NA
LASV_NGA_2016_IRR_029_NGA-Ondo_Owo_Hs_2016-03-01,MK107938,NGA,Ondo,Owo,7.19744,5.58653
MH887773|LASV0109-ONDO-2017|Human|Nigeria|2017-12-18,MH887773,NGA,Ondo,,NA,NA
MH887877|LASV0072-ONDO-2017|Human|Nigeria|2017-02-14,MH887877,NGA,Ondo,,NA,NA
MH053528|ISTH_0703|Human|Nigeria|2016-02-24,MH053528,NGA,Ondo,,NA,NA
LASV_NGA_2017_IRR_006_NGA-Ondo_Owo_Hs_2017-01-19,MK117949,NGA,Ondo,Owo,7.19744,5.58653
MH053518|ISTH_1462|Human|Nigeria|2016-09-04,MH053518,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_014_NGA-Ondo_Owo_Hs_2018-01-15,MK117962,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0028|2019-01-25,LASV|NGA|2019|IRR_0028|2019-01-25,NGA,Ondo,Owo,7.19744,5.58653
MH887864|LASV0132-ONDO-2018|Human|Nigeria|2018-01-15,MH887864,NGA,Ondo,,NA,NA
MH887895|LASV0078-ONDO-2017|Human|Nigeria|2017-05-07,MH887895,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_072_NGA-Ondo_Owo_Hs_2018-02-12,MK117999,NGA,Ondo,Owo,7.19744,5.58653
MH887871|LASV0169-ONDO-2018|Human|Nigeria|2018-02-11,MH887871,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_093_NGA-Ondo_Owo_Hs_2018-02-15,MK118015,NGA,Ondo,Owo,7.19744,5.58653
MH887892|LASV0121-ONDO-2018|Human|Nigeria|2018-01-11,MH887892,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_057_NGA-Ondo_Owo_Hs_2018-02-09,MK117991,NGA,Ondo,Owo,7.19744,5.58653
LASV_NGA_2018_IRR_047_NGA-Ondo_Owo_Hs_2018-02-05,MK117983,NGA,Ondo,Owo,7.19744,5.58653
LASV|NGA|2019|IRR_0062|2019-02-12,LASV|NGA|2019|IRR_0062|2019-02-12,NGA,Ondo,Owo,7.19744,5.58653
MH887843|LASV0111-ONDO-2017|Human|Nigeria|2017-12-28,MH887843,NGA,Ondo,,NA,NA
MH887792|LASV0180-UNKNOWN-2018|Human|Nigeria|2018-02-13,MH887792,NGA,,,NA,NA
MH887844|LASV0089-ONDO-2017|Human|Nigeria|2017-07-05,MH887844,NGA,Ondo,,NA,NA
LASV_NGA_2018_IRR_003_NGA-Ondo_Owo_Hs_2018-01-07,MK117954,NGA,Ondo,Owo,7.19744,5.58653
MH053484|ISTH_0702|Human|Nigeria|2016-02-23,MH053484,NGA,Ondo,,NA,NA
MH887784|LASV0148-UNKNOWN-2018|Human|Nigeria|2018-01-28,MH887784,NGA,,,NA,NA
LASV_NGA_2018_IRR_056_NGA-Ondo_Owo_Hs_2018-02-09,MK117990,NGA,Ondo,Owo,7.19744,5.58653
